station_prefix_id,prefix,station_name,station_type_id,city_id,city,cod_ibge,latitude,longitude,station_owner,ugrhi_id,ugrhi_name,ugrhi_cod,subugrhi_name,subugrhi_id,subugrhi_cod,transmission_type_name,measurement_gap,param_type,measurement_classification_type_id,public,qtd,value,read_value,max_value,min_value,min_date,max_date
2,1000874,Vargem (Barragem Jaguari) ,1,62,Vargem,3556354,-22.9223,-46.4223,SABESP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Jaguari,66,53,WEBSERVICE,10,,3,True,6,83276.78333333334,,83276.9,83276.59999999999,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
4,179,Joanópolis (Barragem Jacareí),1,430,Joanópolis,3525508,-22.971511804003057,-46.33003234863282,SABESP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Jaguari,66,53,WEBSERVICE,10,,3,True,6,83277.78333333334,,83277.9,83277.59999999999,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
6,619,Joanópolis (Barragem Jacareí - Túnel 7 / Vargem) ,1,430,Joanópolis,3525508,-22.97240908618847,-46.32962800380204,SABESP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Jaguari,66,53,WEBSERVICE,10,,3,True,6,83268.06666666667,,83268.2,83267.7,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
8,193,Extrema (F25B - Rio Jaguari - Divisa SP),1,649,Extrema,3125101,-22.8668,-46.3588,SABESP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Atibaia,68,51,WEBSERVICE,10,,3,True,6,198.63333333333333,21.489,198.8,198.5,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
10,1001177,Piracaia (Barragem Cachoeira),1,518,Piracaia,3538600,-23.05073765758915,-46.31929814815521,SABESP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Atibaia,68,51,WEBSERVICE,10,,3,True,6,81955.68333333333,,81955.8,81955.5,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
12,616,Piracaia (Desemboque do Túnel - 6),1,518,Piracaia,3538600,-23.108213838372468,-46.2872779536482,SAISP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Atibaia,68,51,WEBSERVICE,10,,3,True,6,62.333333333333336,8.727666666666666,62.4,62.3,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
14,1001178,Nazaré Paulista (Barragem Atibainha),1,205,Nazaré Paulista,3532405,-23.173890073123772,-46.39270166800455,SABESP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Atibaia,68,51,WEBSERVICE,10,,3,True,5,78439.45999999999,,78439.59999999999,78439.3,2026-03-23T11:00:00.000Z,2026-03-23T11:40:00.000Z
16,746,Nazaré Paulista (Emboque do Tunel 5),1,205,Nazaré Paulista,3532405,-23.22072609339003,-46.41373069659802,SABESP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Atibaia,68,51,WEBSERVICE,10,,3,True,5,78429.01999999999,,78429.6,78428.59999999999,2026-03-23T11:00:00.000Z,2026-03-23T11:40:00.000Z
18,309,Nazaré Paulista (Desemboque do Tunel 5),1,205,Nazaré Paulista,3532405,-23.2648,-46.4807,SABESP,7,ALTO TIETÊ,6,Juqueri,72,67,WEBSERVICE,10,,3,True,6,115.8,30.266166666666663,116.39999999999999,114.7,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
20,1000721,Nazaré Paulista (Canal Jusante Atibainha),1,205,Nazaré Paulista,3532405,-23.1739,-46.3927,SAISP,6,PIRACICABA / CAPIVARI / JUNDIAÍ,5,Rio Atibaia,68,51,WEBSERVICE,10,,3,True,6,75883.61666666667,,75883.90000000001,75883.3,2026-03-23T11:00:00.000Z,2026-03-23T11:50:00.000Z
